sub_id,user_id,start_date,end_date,price
714547,7184,2020-08-05,2020-09-05,0
715543,7245,2020-08-05,2020-09-05,0
713903,7246,2020-08-05,2020-09-05,0
714444,7007,2020-08-05,2020-09-05,0
702354,168,2020-08-05,2021-08-05,0
703838,1609,2020-08-05,2020-09-05,0
714621,7310,2020-08-05,2020-09-05,0
714271,7311,2020-08-05,2020-09-05,0
713910,7252,2020-08-05,2020-09-05,0
712826,7313,2020-08-05,2020-09-05,0
715013,7434,2020-08-05,2020-11-05,0
714673,7255,2020-08-05,2020-09-05,0
703579,1376,2020-08-05,2020-09-05,0
711684,7137,2020-08-05,2020-09-05,0
702301,58,2020-08-05,2021-08-05,0
713705,7259,2020-08-05,2020-09-05,0
713876,7320,2020-08-05,2020-09-05,0
713835,7261,2020-08-05,2020-09-05,0
713378,7202,2020-08-05,2020-09-05,0
717370,8463,2020-08-11,2020-08-26,0
702780,424,2020-08-05,2020-09-05,0
716351,7085,2020-08-05,2020-09-05,0
713765,7086,2020-08-05,2020-09-05,0
714450,7147,2020-08-05,2020-09-05,0
711592,7028,2020-08-05,2020-09-05,0
713612,7269,2020-08-05,2020-09-05,0
713670,7210,2020-08-05,2020-09-05,0
734295,15611,2020-10-20,2020-11-03,0
735224,14532,2020-10-21,2020-11-04,0
714483,7333,2020-08-05,2020-09-05,0
716163,7994,2020-08-05,2020-09-05,0
702295,75,2020-08-05,2021-08-05,0
755648,32774,2020-12-20,2021-01-04,0
719246,7277,2020-08-26,2020-09-10,0
704171,2238,2020-08-05,2020-09-05,0
704511,1519,2020-08-05,2020-09-05,0
713579,7280,2020-08-05,2020-09-05,0
737966,18741,2020-10-23,2020-11-06,0
702530,142,2020-08-05,2020-09-05,0
714579,7223,2020-08-05,2020-09-05,0
715421,7464,2020-08-05,2020-09-05,0
714210,7285,2020-08-05,2020-09-05,0
717083,6386,2020-08-09,2020-08-24,0
714282,7347,2020-08-05,2020-09-05,0
717022,8128,2020-08-08,2020-08-23,0
712971,7349,2020-08-05,2020-09-05,0
714630,7410,2020-08-05,2020-09-05,0
713860,7231,2020-08-05,2020-09-05,0
715969,7232,2020-08-05,2020-09-05,0
704355,2013,2020-08-05,2020-09-05,0
712967,7354,2020-08-05,2020-09-05,0
714454,7115,2020-08-05,2020-09-05,0
711492,5076,2020-08-05,2020-09-05,0
715447,7177,2020-08-05,2020-09-05,0
714794,7358,2020-08-05,2020-09-05,0
714165,7299,2020-08-05,2020-09-05,0
711598,7060,2020-08-05,2020-09-05,0
732194,12821,2020-10-19,2020-11-02,0
713632,7302,2020-08-05,2020-09-05,0
711615,7183,2020-08-05,2020-09-05,0
714617,7244,2020-08-05,2020-09-05,0
715565,7305,2020-08-05,2020-09-05,0
714242,7306,2020-08-05,2020-09-05,0
714527,7067,2020-08-05,2020-09-05,0
702521,228,2020-08-05,2020-09-05,0
704006,1669,2020-08-05,2020-09-05,0
714641,7370,2020-08-05,2020-09-05,0
714318,7371,2020-08-05,2020-09-05,0
714173,7312,2020-08-05,2020-09-05,0
712917,7373,2020-08-05,2020-09-05,0
715028,7494,2020-08-05,2020-11-05,0
714895,7435,2020-08-05,2020-09-05,0
703583,1436,2020-08-05,2020-09-05,0
711734,7197,2020-08-05,2020-09-05,0
702329,118,2020-08-05,2021-08-05,0
713748,7319,2020-08-05,2020-09-05,0
713880,7380,2020-08-05,2020-09-05,0
714182,7321,2020-08-05,2020-09-05,0
713697,7262,2020-08-05,2020-09-05,0
715322,7263,2020-08-05,2020-09-05,0
702808,484,2020-08-05,2020-09-05,0
716424,7145,2020-08-05,2020-09-05,0
713848,7146,2020-08-05,2020-09-05,0
714543,7207,2020-08-05,2020-09-05,0
711600,7088,2020-08-05,2020-09-05,0
713692,7329,2020-08-05,2020-09-05,0
713674,7270,2020-08-05,2020-09-05,0
734391,15671,2020-10-20,2020-11-03,0
735534,14652,2020-10-21,2020-11-04,0
714492,7393,2020-08-05,2020-09-05,0
716175,8054,2020-08-05,2020-09-05,0
702339,135,2020-08-05,2021-08-05,0
